                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.4811,                0.32523,                0.86416,                0.88469,                0.92429,                0.95557,                0.84381,                0.39609,                0.20438,                0.83387,               0.008218,               0.008218,               0.008218
                     38,                 0.4802,                0.32077,                0.86396,                 0.9227,                0.88559,                0.95225,                0.83933,                0.39526,                0.20524,                0.83285,              0.0081685,              0.0081685,              0.0081685
                     39,                0.48129,                0.32406,                0.86413,                0.91855,                0.90748,                 0.9526,                0.83736,                0.39597,                 0.2004,                0.83178,               0.008119,               0.008119,               0.008119
                     40,                0.47802,                0.32146,                0.86492,                0.90395,                0.92767,                0.96294,                0.85193,                0.39325,                0.20515,                0.83347,              0.0080695,              0.0080695,              0.0080695
                     41,                0.47685,                 0.3195,                0.86467,                0.95004,                0.87222,                0.95941,                0.84816,                0.38743,                 0.1985,                0.83102,                0.00802,                0.00802,                0.00802
                     42,                0.47531,                  0.315,                0.86348,                0.95908,                0.88723,                0.95834,                0.84545,                0.38717,                0.19795,                0.83225,              0.0079705,              0.0079705,              0.0079705
                     43,                0.47483,                0.31713,                0.86152,                0.93644,                0.91466,                0.95723,                0.84479,                0.39086,                0.19645,                0.83278,               0.007921,               0.007921,               0.007921
                     44,                0.47577,                0.31784,                0.86403,                0.94887,                0.91036,                 0.9752,                0.85558,                0.38756,                0.19434,                0.83114,              0.0078715,              0.0078715,              0.0078715
                     45,                0.47574,                 0.3127,                0.86271,                0.96493,                0.88923,                0.95998,                0.84339,                0.39083,                 0.1981,                 0.8324,               0.007822,               0.007822,               0.007822
                     46,                0.47418,                 0.3152,                0.86465,                  0.932,                0.91373,                0.96464,                0.85293,                0.38558,                0.19499,                0.83032,              0.0077725,              0.0077725,              0.0077725
                     47,                0.47127,                0.31013,                0.86231,                 0.9537,                0.90519,                0.97824,                0.86597,                  0.385,                0.19464,                0.83125,               0.007723,               0.007723,               0.007723
                     48,                0.47113,                 0.3127,                  0.861,                0.96084,                0.91473,                0.96592,                0.85447,                0.38526,                0.19248,                0.83019,              0.0076735,              0.0076735,              0.0076735
                     49,                0.46788,                0.30699,                0.86044,                0.89973,                0.92159,                0.97504,                0.86361,                0.38226,                 0.1916,                0.82979,               0.007624,               0.007624,               0.007624
                     50,                0.47079,                0.30911,                 0.8621,                 0.9465,                0.91045,                 0.9678,                0.86049,                0.38342,                0.19195,                0.82938,              0.0075745,              0.0075745,              0.0075745
                     51,                0.46899,                0.30827,                0.86065,                0.95237,                0.91186,                0.95777,                0.85231,                0.38183,                0.18851,                0.82943,               0.007525,               0.007525,               0.007525
                     52,                0.46854,                0.30933,                0.86134,                0.94011,                 0.9105,                0.97479,                0.86406,                0.38232,                0.18781,                 0.8295,              0.0074755,              0.0074755,              0.0074755
                     53,                0.46696,                0.30595,                0.86153,                0.92268,                0.91068,                  0.972,                0.86648,                0.38239,                0.18893,                0.82844,               0.007426,               0.007426,               0.007426
                     54,                0.46559,                0.30144,                0.85897,                0.93333,                0.91337,                0.97105,                 0.8653,                  0.379,                0.18679,                0.82956,              0.0073765,              0.0073765,              0.0073765
                     55,                0.46727,                0.30141,                0.86116,                0.94173,                0.91831,                0.97185,                0.86995,                0.37837,                0.18714,                0.82903,               0.007327,               0.007327,               0.007327
                     56,                0.46857,                0.30455,                0.86162,                0.95577,                0.90676,                0.96527,                0.85682,                0.37597,                0.18653,                0.82853,              0.0072775,              0.0072775,              0.0072775
                     57,                0.46399,                0.30025,                0.85979,                0.94654,                0.92605,                0.97304,                0.86253,                0.37667,                0.18416,                0.82737,               0.007228,               0.007228,               0.007228
                     58,                0.46528,                0.29989,                0.85951,                0.95062,                0.92523,                0.97309,                0.86317,                0.37457,                0.18282,                0.82645,              0.0071785,              0.0071785,              0.0071785
                     59,                0.46229,                0.29687,                 0.8603,                0.95837,                0.91651,                0.97038,                0.86559,                0.37656,                0.18275,                0.82693,               0.007129,               0.007129,               0.007129
                     60,                0.46566,                0.30261,                 0.8612,                0.94036,                0.93794,                0.97577,                0.86786,                 0.3757,                0.18259,                0.82653,              0.0070795,              0.0070795,              0.0070795
                     61,                0.46301,                0.30053,                0.86023,                0.95585,                0.92529,                0.97565,                0.87126,                0.37409,                 0.1836,                 0.8268,                0.00703,                0.00703,                0.00703
                     62,                0.46428,                0.29985,                0.86068,                0.94391,                0.94159,                0.96893,                0.86219,                 0.3725,                0.18183,                0.82641,              0.0069805,              0.0069805,              0.0069805
                     63,                0.46179,                0.29785,                0.86052,                0.95459,                0.93048,                0.97595,                0.86966,                0.37179,                0.18097,                0.82666,               0.006931,               0.006931,               0.006931
                     64,                0.46017,                0.29556,                0.85936,                0.92285,                0.93771,                0.97195,                0.86739,                0.37308,                0.18028,                0.82717,              0.0068815,              0.0068815,              0.0068815
                     65,                0.45868,                0.29432,                0.85915,                0.96292,                0.92533,                0.97238,                0.86623,                0.37245,                0.18204,                0.82624,               0.006832,               0.006832,               0.006832
                     66,                0.45824,                0.29586,                0.85853,                0.94549,                0.93712,                0.97193,                0.86518,                0.36914,                0.18226,                 0.8255,              0.0067825,              0.0067825,              0.0067825
                     67,                0.45807,                0.29467,                0.85922,                0.94969,                0.91901,                0.98024,                0.87059,                0.36899,                0.18081,                0.82581,               0.006733,               0.006733,               0.006733
