                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    157,                 0.4093,                0.24682,                0.84859,                0.95423,                0.96146,                0.98394,                0.87881,                0.34473,                0.16417,                0.81998,               0.002278,               0.002278,               0.002278
                    158,                0.40823,                0.24186,                0.84888,                 0.9539,                 0.9615,                0.98396,                0.87795,                0.34463,                0.16416,                0.81995,              0.0022285,              0.0022285,              0.0022285
                    159,                0.40968,                0.24301,                0.84826,                0.95377,                0.96149,                0.98397,                0.87774,                0.34465,                0.16434,                0.81992,               0.002179,               0.002179,               0.002179
                    160,                0.40695,                0.24017,                0.84729,                0.95441,                0.96143,                0.98397,                0.87773,                0.34461,                0.16443,                0.81987,              0.0021295,              0.0021295,              0.0021295
                    161,                 0.4088,                0.24161,                0.84835,                0.95409,                0.96147,                0.98398,                0.87834,                0.34457,                0.16442,                0.81987,                0.00208,                0.00208,                0.00208
                    162,                0.40648,                0.23933,                0.84689,                 0.9541,                0.96144,                  0.984,                0.87767,                0.34449,                0.16439,                0.81979,              0.0020305,              0.0020305,              0.0020305
                    163,                0.40553,                0.23991,                0.84563,                0.95397,                0.96144,                0.98397,                0.87771,                0.34455,                0.16442,                0.81981,               0.001981,               0.001981,               0.001981
                    164,                0.40618,                0.24047,                0.84864,                0.95374,                0.96144,                0.98396,                0.87737,                 0.3444,                0.16451,                0.81978,              0.0019315,              0.0019315,              0.0019315
                    165,                0.40383,                 0.2383,                0.84605,                0.95396,                 0.9614,                0.98403,                 0.8768,                0.34441,                0.16458,                0.81975,               0.001882,               0.001882,               0.001882
                    166,                0.40421,                0.23701,                0.84763,                0.95277,                 0.9616,                0.98402,                 0.8781,                0.34444,                 0.1648,                0.81975,              0.0018325,              0.0018325,              0.0018325
                    167,                0.40307,                0.23908,                 0.8461,                0.95371,                 0.9615,                0.98402,                0.87833,                 0.3444,                0.16482,                0.81972,               0.001783,               0.001783,               0.001783
                    168,                0.40135,                0.23602,                0.84722,                0.95433,                0.96144,                0.98402,                0.87691,                0.34431,                0.16488,                0.81968,              0.0017335,              0.0017335,              0.0017335
                    169,                0.40189,                0.23672,                0.84882,                0.95518,                 0.9613,                0.98407,                0.87819,                0.34431,                0.16502,                0.81968,               0.001684,               0.001684,               0.001684
                    170,                0.40038,                0.23542,                0.84554,                0.95585,                0.96123,                0.98403,                0.87839,                0.34433,                0.16509,                0.81964,              0.0016345,              0.0016345,              0.0016345
                    171,                0.40254,                0.23661,                0.84655,                  0.957,                 0.9611,                0.98406,                0.87859,                0.34426,                0.16525,                0.81963,               0.001585,               0.001585,               0.001585
                    172,                0.39824,                0.23398,                0.84522,                0.95724,                0.96106,                0.98403,                0.87936,                0.34428,                0.16532,                0.81962,              0.0015355,              0.0015355,              0.0015355
                    173,                0.39887,                 0.2332,                0.84538,                0.95862,                0.96094,                0.98404,                0.87961,                0.34423,                0.16538,                0.81963,               0.001486,               0.001486,               0.001486
                    174,                0.40085,                 0.2347,                0.84551,                0.95909,                0.96091,                0.98406,                 0.8793,                0.34417,                 0.1655,                0.81959,              0.0014365,              0.0014365,              0.0014365
                    175,                0.39821,                0.23305,                0.84504,                0.95971,                0.96085,                0.98405,                0.87734,                0.34421,                0.16563,                0.81964,               0.001387,               0.001387,               0.001387
                    176,                0.40028,                0.23252,                0.84591,                0.96047,                0.96077,                0.98406,                0.87836,                0.34428,                 0.1656,                0.81959,              0.0013375,              0.0013375,              0.0013375
                    177,                0.39714,                0.22986,                0.84431,                0.96125,                0.96065,                0.98409,                0.87789,                 0.3443,                0.16601,                 0.8196,               0.001288,               0.001288,               0.001288
                    178,                0.40003,                0.23239,                 0.8468,                0.96192,                 0.9606,                0.98407,                0.87824,                0.34429,                0.16616,                0.81956,              0.0012385,              0.0012385,              0.0012385
                    179,                0.39831,                0.23287,                0.84605,                0.96273,                0.96051,                0.98407,                0.87822,                0.34438,                0.16626,                0.81955,               0.001189,               0.001189,               0.001189
                    180,                 0.3969,                0.23047,                0.84593,                0.96329,                0.96035,                0.98405,                 0.8786,                0.34439,                0.16629,                0.81953,              0.0011395,              0.0011395,              0.0011395
                    181,                 0.3959,                0.22982,                0.84544,                0.96386,                0.96024,                 0.9841,                0.87883,                0.34431,                0.16641,                0.81951,                0.00109,                0.00109,                0.00109
                    182,                0.39587,                0.23063,                0.84577,                0.96479,                0.96003,                0.98408,                0.87949,                0.34432,                0.16657,                 0.8195,              0.0010405,              0.0010405,              0.0010405
                    183,                0.39498,                0.22896,                0.84351,                0.96501,                0.95985,                 0.9841,                0.87803,                0.34431,                0.16645,                0.81952,               0.000991,               0.000991,               0.000991
                    184,                0.39491,                0.22915,                0.84436,                0.96555,                0.95959,                0.98327,                 0.8786,                0.34429,                0.16652,                0.81951,              0.0009415,              0.0009415,              0.0009415
                    185,                  0.393,                0.22734,                0.84448,                 0.9658,                0.95942,                0.98325,                0.87822,                0.34428,                 0.1664,                 0.8195,               0.000892,               0.000892,               0.000892
                    186,                0.39222,                0.22652,                 0.8444,                0.96586,                0.95936,                0.98327,                0.87746,                0.34419,                 0.1668,                0.81948,              0.0008425,              0.0008425,              0.0008425
                    187,                 0.3908,                0.22621,                0.84424,                0.96596,                0.95927,                0.98332,                0.87717,                0.34417,                0.16676,                0.81944,               0.000793,               0.000793,               0.000793
                    188,                0.39281,                0.22625,                 0.8445,                0.96623,                0.95916,                0.98329,                0.87704,                0.34423,                0.16691,                0.81948,              0.0007435,              0.0007435,              0.0007435
                    189,                0.39105,                0.22568,                0.84444,                 0.9661,                0.95916,                0.98335,                0.87736,                0.34417,                0.16692,                0.81946,               0.000694,               0.000694,               0.000694
                    190,                0.38879,                0.22288,                0.84323,                0.96621,                0.95905,                0.98339,                0.87736,                0.34419,                0.16691,                0.81946,              0.0006445,              0.0006445,              0.0006445
                    191,                0.36539,                0.18234,                0.82805,                 0.9656,                0.95883,                0.98337,                0.87722,                0.34424,                0.16703,                0.81946,               0.000595,               0.000595,               0.000595
                    192,                0.36219,                0.17929,                0.82792,                0.96572,                 0.9587,                0.98334,                0.87779,                0.34424,                0.16708,                0.81946,              0.0005455,              0.0005455,              0.0005455
                    193,                0.35994,                0.17734,                0.82623,                0.96598,                0.95847,                 0.9833,                0.87738,                0.34432,                0.16739,                0.81942,               0.000496,               0.000496,               0.000496
                    194,                0.36022,                 0.1783,                0.82715,                0.96627,                0.95829,                0.98326,                0.87783,                0.34422,                0.16756,                 0.8194,              0.0004465,              0.0004465,              0.0004465
                    195,                 0.3572,                0.17655,                0.82704,                0.96641,                0.95815,                0.98332,                0.87737,                0.34421,                0.16755,                0.81938,               0.000397,               0.000397,               0.000397
                    196,                0.35694,                0.17593,                0.82733,                0.96654,                0.95831,                 0.9833,                0.87738,                0.34405,                0.16774,                0.81935,              0.0003475,              0.0003475,              0.0003475
                    197,                0.35552,                0.17424,                0.82674,                0.96666,                0.95833,                0.98329,                0.87747,                0.34391,                0.16778,                0.81931,               0.000298,               0.000298,               0.000298
                    198,                0.35471,                0.17336,                0.82498,                  0.967,                 0.9582,                0.98333,                0.87749,                0.34374,                0.16769,                0.81927,              0.0002485,              0.0002485,              0.0002485
